Film_id,Title,Premiere,Runtime,Genres,Language,Type,Description,Age_certification,IMDB_id,IMDB_score,IMDB_votes,TMDB_score,TMDB_votes
tm324870,Dude,"April 20, 2018",97,Comedy,English,MOVIE,Four best friends negotiate loss and major life changes during the last two weeks of high school.,UNKNOWN,tt3458510,5.1,6873.0,5.5,10.798
tm918777,Geez & Ann,"February 25, 2021",105,"Drama, Romance",Indonesian,MOVIE,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache, and deception as their romance struggles.",UNKNOWN,tt11936782,5.1,290.0,7.2,3.238
tm912327,The Larva Island Movie,"July 23, 2020",90,"Animation, Family",English,MOVIE,"Back at home, Chuck relates the island shenanigans of his larva pals Red and Yellow to a skeptical reporter in this movie sequel to the hit cartoon.",UNKNOWN,tt12588448,5.1,655.0,7.2,71.987
tm893816,Desperados,"July 3, 2020",106,"Comedy, Romance",English,MOVIE,"A panicked young woman and her two best friends fly to Mexico to delete a ranting email she sent to her new boyfriend. On arrival, they run into her former beau, who soon gets caught up in their frantic scheme.",UNKNOWN,tt10050362,5.2,10269.0,6.1,8.691
tm938227,Dolly Parton's Christmas on the Square,"November 22, 2020",98,"Comedy, Music, Family",English,MOVIE,A rich and nasty woman returns to her hometown to evict everyone but discovers the true meaning of Christmas thanks to the local townsfolk – and an actual angel. Features 14 original songs with music and lyrics by Dolly Parton!,pg,tt10627548,5.2,2686.0,5.9,4.223
tm420989,Father of the Year,"July 20, 2018",94,Comedy,English,MOVIE,"Two college grads return to their hometown, where a hypothetical question -- whose dad would win in a fight? -- leads to mass mayhem.",UNKNOWN,tt7256866,5.2,11545.0,5.4,10.981
tm459329,Firebrand,"February 22, 2019",112,Drama,Marathi,MOVIE,"While she advocates for her female clients in divorce cases, a lawyer's trauma from sexual violence impacts her own marriage.",UNKNOWN,tt8852536,5.2,280.0,7.3,2.824
tm1038364,Ghost Lab,"May 26, 2021",117,"Drama, Horror, Science Fiction, Thriller",Thai,MOVIE,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",UNKNOWN,tt13446126,5.2,1424.0,6.5,50.322
tm285340,Girlfriend's Day,"February 14, 2017",70,"Comedy, Drama",English,MOVIE,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",UNKNOWN,tt2962984,5.2,4381.0,4.8,8.861
tm313748,Handsome: A Netflix Mystery Movie,"May 5, 2017",81,Comedy,English,MOVIE,LA homicide detective Gene Handsome's knack for solving mysteries is matched only by his inability to make sense of his own problems.,UNKNOWN,tt5809020,5.2,4551.0,5.3,9.029
tm847998,Hubie Halloween,"October 7, 2020",103,"Comedy, Mystery, Horror",English,MOVIE,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",pg-13,tt10682266,5.2,48575.0,6.0,18.454
tm411958,Ibiza,"May 25, 2018",94,"Comedy, Romance",English,MOVIE,She could do the responsible thing. Or she could go to Ibiza with her best friends to chase down a hot DJ. Easy choice.,UNKNOWN,tt3685236,5.2,17517.0,5.7,9.813
tm420455,Rim of the World,"May 24, 2019",98,"Science Fiction, Adventure, Action, Comedy",English,MOVIE,"Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.",pg,tt8179388,5.2,23987.0,6.0,22.933
tm266685,Sandy Wexler,"April 14, 2017",131,Comedy,English,MOVIE,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",UNKNOWN,tt5893332,5.2,17039.0,5.5,15.142
tm465724,See You Yesterday,"May 17, 2019",87,"Science Fiction, Drama, Adventure, Crime, Action",English,MOVIE,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.",UNKNOWN,tt8743064,5.2,10725.0,5.6,7.583
tm474263,Still Laugh-In: The Stars Celebrate,"May 14, 2019",60,"Comedy, Music, TV Movie, Documentary",English,MOVIE,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.",UNKNOWN,tt9880234,5.2,590.0,5.5,2.988
tm985712,"Strip Down, Rise Up","February 5, 2021",112,Documentary,English,MOVIE,"The feature documentary follows women of all walks of life, all ages and ethnic backgrounds, as they shed trauma, body image shame, sexual abuse and other issues locked in their bodies, and embark on a journey to reclaim themselves. The film also gives a rare window into the world of Pole artistry and expression.",r,tt13787118,5.2,656.0,7.0,15.961
tm827501,Tall Girl,"September 13, 2019",102,"Comedy, Drama, Romance",English,MOVIE,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",pg,tt9252508,5.2,23452.0,6.4,25.358
tm941531,The Beast,"November 27, 2020",99,"Action, Adventure, Science Fiction",Italian,MOVIE,"To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers — and soon becomes a suspect himself.",UNKNOWN,tt11499506,5.2,4323.0,6.3,9.785
tm370392,The Week Of,"April 27, 2018",116,Comedy,English,MOVIE,The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.,pg-13,tt6821012,5.2,21855.0,5.4,10.24
tm438995,A Christmas Prince: The Royal Wedding,"November 30, 2018",92,"Romance, Comedy",English,MOVIE,"A year after Amber helped Richard secure the crown. The two are set to tie the knot in a royal Christmas wedding — but their plans are jeopardized when Amber finds herself second-guessing whether or not she's cut out to be queen, and Richard is faced with a political crisis that threatens to tarnish not only the holiday season but the future of the kingdom.",pg,tt8709036,5.3,10698.0,6.4,9.051
tm826875,Back to School,"August 30, 2019",83,Comedy,French,MOVIE,Two adults go to their middle school reunion in order to show off their success to old bullies teenage crushes..,UNKNOWN,tt10715194,5.3,1267.0,5.4,5.563
tm883189,Dangerous Lies,"April 30, 2020",97,Thriller,English,MOVIE,"After losing her waitressing job, Katie Franklin takes a job as a caretaker to a wealthy elderly man in his sprawling, empty Chicago estate. The two grow close, but when he unexpectedly passes away and names Katie as his sole heir, she and her husband Adam are pulled into a complex web of lies, deception, and murder. If she's going to survive, Katie will have to question everyone's motives — even the people she loves.",UNKNOWN,tt10061766,5.3,16943.0,6.4,11.808
tm851912,Gunjan Saxena: The Kargil Girl,"August 12, 2020",112,"Action, Drama",Hindi,MOVIE,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,UNKNOWN,tt10350626,5.3,34567.0,7.4,6.318
tm856545,Intuition,"May 28, 2020",116,"Thriller, Drama",Spanish,MOVIE,"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".",UNKNOWN,tt12282598,5.3,2663.0,6.3,15.292
tm351720,The Most Assassinated Woman in the World,"September 7, 2018",102,"Mystery, Thriller",French,MOVIE,"Set against the backdrop of the infamous Theatre Grand Guignol the story revolves around iconic actress Paula Maxa - the most famous of the Grand Guignol's leading ladies and the titular Most Assassinated Woman, who was graphically slain on stage multiple times a day.",UNKNOWN,tt6186696,5.3,1092.0,5.2,4.162
tm833216,Things Heard & Seen,"April 29, 2021",121,Horror,English,MOVIE,"Catherine Clare reluctantly trades life in 1980 Manhattan for a remote home in the tiny hamlet of Chosen, New York, after her husband George lands a job teaching art history at a small Hudson Valley college. Even as she does her best to transform the old dairy farm into a place where young daughter Franny will be happy, Catherine increasingly finds herself isolated and alone. She soon comes to sense a sinister darkness lurking both in the walls of the ramshackle property—and in her marriage to George.",UNKNOWN,tt10962368,5.3,30703.0,5.8,14.718
tm420800,"To Each, Her Own","June 24, 2018",95,"Comedy, Romance",French,MOVIE,"Just as Simone works up the courage to tell her conservative Jewish family she's a lesbian, she finds herself attracted to a male Senegalese chef.",UNKNOWN,tt15739130,5.3,1756.0,5.1,7.382
